id,shopName,location,tel,near,breakfast,lunch,dinner,snack,drink
,啡比尋茶咖啡茶飲專賣店,台北市安東街45-4號,02-87716-3038,安東街,FALSE,FALSE,FALSE,FALSE,TRUE
,丁媽媽水餃,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,派克雞排,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,四鄉五島(馬祖魚麵),,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,又一村水餃,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,郭記擔仔麵,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,勝利號蚵仔煎,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,八方雲集,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,名峯烤肉飯,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,阿圖麻油雞,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,𡘙師傅便當,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,圓環魚翅肉羹,,,遼寧街,FALSE,TRUE,TRUE,FALSE,FALSE
,鬍鬚張,,,忠孝東路二段,FALSE,TRUE,TRUE,FALSE,FALSE
,臨沂殿,,,忠孝東路二段,FALSE,TRUE,TRUE,FALSE,FALSE
,摩斯,,,忠孝東路二段,FALSE,TRUE,TRUE,FALSE,FALSE
,三串窟蛤仔麵,,,伊通街,FALSE,TRUE,TRUE,FALSE,FALSE
,旺味 (味噌拉麵),,,長安東路,FALSE,TRUE,TRUE,FALSE,FALSE
,米塔,,,長安東路,FALSE,TRUE,TRUE,FALSE,FALSE
,7-11,,,校內,TRUE,TRUE,TRUE,TRUE,FALSE
,劉媽媽涼麵,,,附近,FALSE,TRUE,TRUE,TRUE,FALSE
,全家,,,校內,TRUE,TRUE,TRUE,TRUE,FALSE
,光華特大章魚腳,台北市新生南路一段12巷6號之13,02-2394-8328,光華,FALSE,FALSE,FALSE,TRUE,FALSE
,臭臉滷味,,,忠孝敦化,FALSE,FALSE,FALSE,TRUE,FALSE
,炸上癮,,,忠孝敦化,FALSE,FALSE,FALSE,TRUE,FALSE
,住吉,,,忠孝敦化,FALSE,FALSE,FALSE,TRUE,FALSE
,鮮雞味,,,忠孝敦化,FALSE,FALSE,FALSE,TRUE,FALSE
,富宏牛肉麵,,,遠方,FALSE,FALSE,FALSE,TRUE,FALSE
,市民大道轉長安東30巷麵店,,,遠方,FALSE,FALSE,FALSE,TRUE,FALSE
,貴格,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,芳鄰,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,六教早餐店,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,市民大道永和豆漿,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,美味的秘訣(松江路上的小早餐店),,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,瑪姬,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,四海豆漿,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,阿姨碳烤三明治,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,廟口油飯,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,麥味登,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,八德饅頭店,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,豆漿油條(濟南路小四川對面),,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,學校後面廟口炒麵炒米粉,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,廟口與麥味登中間煎包小籠包鍋貼,,,附近,TRUE,FALSE,FALSE,FALSE,FALSE
,青島,,,遠方,TRUE,FALSE,FALSE,FALSE,FALSE
,丘比,,,遠方,TRUE,FALSE,FALSE,FALSE,FALSE
,拉亞(大安森林公園),,,遠方,TRUE,FALSE,FALSE,FALSE,FALSE
,陳根找茶(信義區),,,遠方,TRUE,FALSE,FALSE,FALSE,FALSE
